EmployeeNumber,BurnoutRisk,Priority,Urgency_Note,Num_Interventions,Interventions
386,Medium,MODERATE,"Key drivers: working overtime, below-average work-life balance.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions
387,Medium,MODERATE,"Key drivers: poor environment satisfaction, 11 years without promotion.",2,Gather anonymous feedback on workplace conditions | Fast-track promotion review or provide stretch assignments
388,Medium,MODERATE,"Key drivers: below-average work-life balance, poor environment satisfaction, frequent business travel.",3,Offer optional wellness / mindfulness sessions | Gather anonymous feedback on workplace conditions | Reduce business travel frequency or offer travel allowance
389,Medium,MODERATE,"Key drivers: working overtime, poor environment satisfaction.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Gather anonymous feedback on workplace conditions
390,High,CRITICAL,"Key drivers: working overtime, very low job satisfaction, very poor environment satisfaction, frequent business travel.",11,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Discuss career growth pathway and set a promotion timeline | Reduce business travel frequency or offer travel allowance | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
391,Medium,MODERATE,"Key drivers: low monthly income (financial stress), 5 years without promotion.",3,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Fast-track promotion review or provide stretch assignments
392,Medium,HIGH,"Key drivers: working overtime, very poor work-life balance, frequent business travel.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Reduce business travel frequency or offer travel allowance
393,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
394,High,CRITICAL,"Key drivers: working overtime, low job satisfaction, very poor environment satisfaction, low monthly income (financial stress).",10,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
395,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
396,Medium,HIGH,"Key drivers: working overtime, very low job satisfaction, frequent business travel.",6,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
397,Low,WATCH,"Key drivers: low job satisfaction, 7 years without promotion.",3,Schedule a manager-employee feedback session | Fast-track promotion review or provide stretch assignments | Implement a peer-recognition and rewards programme
399,Medium,HIGH,"Key drivers: below-average work-life balance, low job satisfaction, low monthly income (financial stress), frequent business travel.",6,Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
401,Medium,MODERATE,"Key drivers: working overtime, 7 years without promotion.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Fast-track promotion review or provide stretch assignments
403,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, poor environment satisfaction, low monthly income (financial stress), frequent business travel.",9,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
404,Medium,HIGH,"Key drivers: low job satisfaction, long tenure with low satisfaction, frequent business travel.",5,Schedule a manager-employee feedback session | Discuss career growth pathway and set a promotion timeline | Offer sabbatical leave or role rotation programme | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
405,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
406,Medium,HIGH,"Key drivers: below-average work-life balance, low job satisfaction, 6 years without promotion, long tenure with low satisfaction.",5,Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Implement a peer-recognition and rewards programme
407,Low,WATCH,Key drivers: frequent business travel.,1,Reduce business travel frequency or offer travel allowance
408,Low,WATCH,Key drivers: low job satisfaction.,2,Schedule a manager-employee feedback session | Implement a peer-recognition and rewards programme
410,Medium,MODERATE,"Key drivers: low job satisfaction, long tenure with low satisfaction.",3,Schedule a manager-employee feedback session | Offer sabbatical leave or role rotation programme | Implement a peer-recognition and rewards programme
411,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
412,Medium,HIGH,"Key drivers: very low job satisfaction, poor environment satisfaction.",4,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Implement a peer-recognition and rewards programme
416,Medium,MODERATE,"Key drivers: below-average work-life balance, poor environment satisfaction, 7 years without promotion.",3,Offer optional wellness / mindfulness sessions | Gather anonymous feedback on workplace conditions | Fast-track promotion review or provide stretch assignments
417,Medium,MODERATE,Key drivers: below-average work-life balance.,2,Offer optional wellness / mindfulness sessions | Discuss career growth pathway and set a promotion timeline
419,Medium,MODERATE,"Key drivers: low job satisfaction, poor environment satisfaction.",3,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Implement a peer-recognition and rewards programme
420,Medium,MODERATE,Key drivers: below-average work-life balance.,2,Offer optional wellness / mindfulness sessions | Discuss career growth pathway and set a promotion timeline
421,Medium,HIGH,"Key drivers: low job satisfaction, very poor environment satisfaction.",4,Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Implement a peer-recognition and rewards programme
422,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
423,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
424,Medium,HIGH,"Key drivers: very low job satisfaction, very poor environment satisfaction.",5,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Implement a peer-recognition and rewards programme
425,High,CRITICAL,"Key drivers: very low job satisfaction, very poor environment satisfaction, 9 years without promotion, long tenure with low satisfaction, frequent business travel.",11,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Review compensation relative to job level and market rates | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Reduce business travel frequency or offer travel allowance | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
426,High,CRITICAL,"Key drivers: working overtime, very poor work-life balance, low monthly income (financial stress).",8,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
428,Low,WATCH,"Key drivers: low job satisfaction, 8 years without promotion, frequent business travel.",4,Schedule a manager-employee feedback session | Fast-track promotion review or provide stretch assignments | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
429,High,CRITICAL,"Key drivers: working overtime, very low job satisfaction, 11 years without promotion, long tenure with low satisfaction.",9,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
430,Low,WATCH,"Key drivers: low monthly income (financial stress), frequent business travel.",3,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance
431,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
433,Medium,HIGH,"Key drivers: below-average work-life balance, low job satisfaction, 7 years without promotion.",4,Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Fast-track promotion review or provide stretch assignments | Implement a peer-recognition and rewards programme
434,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, low job satisfaction, low monthly income (financial stress).",9,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
436,Medium,HIGH,"Key drivers: working overtime, low job satisfaction, 11 years without promotion, long tenure with low satisfaction.",6,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Implement a peer-recognition and rewards programme
437,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
438,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
439,Medium,MODERATE,"Key drivers: below-average work-life balance, very poor environment satisfaction.",3,Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
440,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, very poor environment satisfaction.",7,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
441,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
442,Low,WATCH,"Key drivers: 8 years without promotion, frequent business travel.",2,Fast-track promotion review or provide stretch assignments | Reduce business travel frequency or offer travel allowance
444,Low,WATCH,"Key drivers: 13 years without promotion, frequent business travel.",2,Fast-track promotion review or provide stretch assignments | Reduce business travel frequency or offer travel allowance
445,Medium,MODERATE,"Key drivers: working overtime, below-average work-life balance.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions
446,Medium,MODERATE,"Key drivers: below-average work-life balance, poor environment satisfaction, frequent business travel.",3,Offer optional wellness / mindfulness sessions | Gather anonymous feedback on workplace conditions | Reduce business travel frequency or offer travel allowance
447,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
448,Low,WATCH,Key drivers: frequent business travel.,1,Reduce business travel frequency or offer travel allowance
449,Medium,HIGH,"Key drivers: working overtime, low job satisfaction.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Implement a peer-recognition and rewards programme
450,Low,WATCH,"Key drivers: below-average work-life balance, frequent business travel.",2,Offer optional wellness / mindfulness sessions | Reduce business travel frequency or offer travel allowance
451,Medium,HIGH,"Key drivers: below-average work-life balance, very low job satisfaction.",4,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Implement a peer-recognition and rewards programme
452,Low,WATCH,Key drivers: 9 years without promotion.,1,Fast-track promotion review or provide stretch assignments
453,Medium,HIGH,"Key drivers: working overtime, below-average work-life balance, poor environment satisfaction.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Gather anonymous feedback on workplace conditions
454,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, very low job satisfaction, poor environment satisfaction, low monthly income (financial stress).",11,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
455,Low,WATCH,Key drivers: poor environment satisfaction.,1,Gather anonymous feedback on workplace conditions
456,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
458,Medium,MODERATE,"Key drivers: low job satisfaction, poor environment satisfaction.",3,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Implement a peer-recognition and rewards programme
460,Low,WATCH,Key drivers: below-average work-life balance.,1,Offer optional wellness / mindfulness sessions
461,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
462,Medium,HIGH,"Key drivers: working overtime, below-average work-life balance.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Discuss career growth pathway and set a promotion timeline
463,Medium,HIGH,"Key drivers: working overtime, low job satisfaction.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Implement a peer-recognition and rewards programme
464,Medium,MODERATE,"Key drivers: low job satisfaction, long tenure with low satisfaction.",3,Schedule a manager-employee feedback session | Offer sabbatical leave or role rotation programme | Implement a peer-recognition and rewards programme
465,Medium,MODERATE,"Key drivers: below-average work-life balance, low monthly income (financial stress).",3,Offer optional wellness / mindfulness sessions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
466,Medium,HIGH,"Key drivers: working overtime, low job satisfaction.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Implement a peer-recognition and rewards programme
467,Medium,HIGH,"Key drivers: poor environment satisfaction, low monthly income (financial stress), frequent business travel.",4,Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance
468,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
469,Low,WATCH,Key drivers: below-average work-life balance.,1,Offer optional wellness / mindfulness sessions
470,Medium,HIGH,"Key drivers: working overtime, low monthly income (financial stress).",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
471,Medium,HIGH,"Key drivers: low job satisfaction, low monthly income (financial stress).",4,Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
473,Medium,HIGH,"Key drivers: very poor work-life balance, very poor environment satisfaction.",4,Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
474,Medium,HIGH,"Key drivers: working overtime, very low job satisfaction, 6 years without promotion.",6,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Fast-track promotion review or provide stretch assignments | Implement a peer-recognition and rewards programme
475,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
476,Low,WATCH,Key drivers: 7 years without promotion.,1,Fast-track promotion review or provide stretch assignments
477,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
478,High,CRITICAL,"Key drivers: working overtime, low job satisfaction, very poor environment satisfaction, low monthly income (financial stress), frequent business travel.",11,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
479,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
481,Medium,MODERATE,"Key drivers: very poor environment satisfaction, frequent business travel.",3,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Reduce business travel frequency or offer travel allowance
482,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
483,Medium,HIGH,"Key drivers: working overtime, low monthly income (financial stress).",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
484,Medium,HIGH,"Key drivers: below-average work-life balance, very poor environment satisfaction, low monthly income (financial stress).",5,Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
485,Medium,HIGH,"Key drivers: working overtime, low monthly income (financial stress).",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
486,Medium,MODERATE,Key drivers: very low job satisfaction.,2,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer
487,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
488,Medium,HIGH,"Key drivers: low job satisfaction, very poor environment satisfaction, 7 years without promotion, frequent business travel.",6,Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Fast-track promotion review or provide stretch assignments | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
491,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
492,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
493,Medium,HIGH,"Key drivers: working overtime, low job satisfaction, low monthly income (financial stress).",6,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
494,Medium,HIGH,"Key drivers: low job satisfaction, low monthly income (financial stress).",4,Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
495,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
496,Low,WATCH,Key drivers: low job satisfaction.,2,Schedule a manager-employee feedback session | Implement a peer-recognition and rewards programme
497,Low,WATCH,Key drivers: low job satisfaction.,2,Schedule a manager-employee feedback session | Implement a peer-recognition and rewards programme
498,Low,WATCH,Key drivers: poor environment satisfaction.,1,Gather anonymous feedback on workplace conditions
499,Low,WATCH,Key drivers: poor environment satisfaction.,1,Gather anonymous feedback on workplace conditions
500,Low,WATCH,Key drivers: below-average work-life balance.,1,Offer optional wellness / mindfulness sessions
501,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
502,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, very poor environment satisfaction.",7,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
505,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
507,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
508,Medium,HIGH,"Key drivers: low job satisfaction, low monthly income (financial stress).",4,Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
510,Medium,MODERATE,"Key drivers: very low job satisfaction, frequent business travel.",3,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Reduce business travel frequency or offer travel allowance
511,Medium,HIGH,"Key drivers: low job satisfaction, very poor environment satisfaction, low monthly income (financial stress).",6,Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
513,Low,WATCH,"Key drivers: poor environment satisfaction, 9 years without promotion.",2,Gather anonymous feedback on workplace conditions | Fast-track promotion review or provide stretch assignments
514,Medium,HIGH,"Key drivers: working overtime, low monthly income (financial stress), frequent business travel.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance
515,Medium,HIGH,"Key drivers: below-average work-life balance, very low job satisfaction, 12 years without promotion, long tenure with low satisfaction.",6,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Implement a peer-recognition and rewards programme
516,Low,WATCH,Key drivers: low job satisfaction.,2,Schedule a manager-employee feedback session | Implement a peer-recognition and rewards programme
517,Medium,HIGH,"Key drivers: very low job satisfaction, poor environment satisfaction, low monthly income (financial stress).",6,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
518,Medium,HIGH,"Key drivers: working overtime, below-average work-life balance, low job satisfaction.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Implement a peer-recognition and rewards programme
520,Medium,HIGH,"Key drivers: low job satisfaction, very poor environment satisfaction, long tenure with low satisfaction.",6,Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Discuss career growth pathway and set a promotion timeline | Offer sabbatical leave or role rotation programme | Implement a peer-recognition and rewards programme
521,Low,WATCH,Key drivers: poor environment satisfaction.,1,Gather anonymous feedback on workplace conditions
522,High,CRITICAL,"Key drivers: below-average work-life balance, very low job satisfaction, very poor environment satisfaction.",8,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
523,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
524,High,CRITICAL,"Key drivers: very poor work-life balance, very low job satisfaction, poor environment satisfaction, long tenure with low satisfaction.",10,Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Discuss career growth pathway and set a promotion timeline | Offer sabbatical leave or role rotation programme | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
525,Low,WATCH,"Key drivers: low monthly income (financial stress), frequent business travel.",3,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance
526,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
527,Medium,MODERATE,"Key drivers: working overtime, poor environment satisfaction.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Gather anonymous feedback on workplace conditions
529,Medium,HIGH,"Key drivers: working overtime, poor environment satisfaction, 10 years without promotion.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Gather anonymous feedback on workplace conditions | Fast-track promotion review or provide stretch assignments
530,Medium,HIGH,"Key drivers: very low job satisfaction, low monthly income (financial stress).",6,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Discuss career growth pathway and set a promotion timeline | Implement a peer-recognition and rewards programme
531,Medium,HIGH,"Key drivers: working overtime, poor environment satisfaction, frequent business travel.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Gather anonymous feedback on workplace conditions | Reduce business travel frequency or offer travel allowance
532,Medium,HIGH,"Key drivers: below-average work-life balance, very low job satisfaction, 7 years without promotion, frequent business travel.",6,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Fast-track promotion review or provide stretch assignments | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
533,Low,WATCH,Key drivers: poor environment satisfaction.,2,Gather anonymous feedback on workplace conditions | Discuss career growth pathway and set a promotion timeline
534,Medium,HIGH,"Key drivers: very low job satisfaction, poor environment satisfaction.",4,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Implement a peer-recognition and rewards programme
536,Medium,MODERATE,Key drivers: very low job satisfaction.,3,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Implement a peer-recognition and rewards programme
538,Medium,HIGH,"Key drivers: very low job satisfaction, very poor environment satisfaction.",5,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Implement a peer-recognition and rewards programme
543,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
544,Medium,HIGH,"Key drivers: below-average work-life balance, very poor environment satisfaction, low monthly income (financial stress).",5,Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
546,Medium,MODERATE,Key drivers: very poor work-life balance.,2,Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly)
547,Medium,MODERATE,"Key drivers: very poor environment satisfaction, frequent business travel.",3,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Reduce business travel frequency or offer travel allowance
548,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
549,High,CRITICAL,"Key drivers: very poor work-life balance, very low job satisfaction, very poor environment satisfaction, 11 years without promotion, long tenure with low satisfaction.",11,Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
550,Low,WATCH,Key drivers: below-average work-life balance.,1,Offer optional wellness / mindfulness sessions
551,Low,WATCH,Key drivers: frequent business travel.,1,Reduce business travel frequency or offer travel allowance
554,High,CRITICAL,"Key drivers: working overtime, low job satisfaction, very poor environment satisfaction.",8,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
